State,City,Median-Salary
Michigan,Flint
Michigan,Grand-Rapids-Wyoming
Michigan,Jackson
Michigan,Kalamazoo-Portage
Michigan,Lansing-East-Lansing
Michigan,Midland
Michigan,Monroe
Michigan,Muskegon
Michigan,Niles-Benton-Harbor
Michigan,Saginaw
Michigan,South-Bend-Mishawaka
Minnesota,Duluth
Minnesota,Fargo
Minnesota,Grand-Forks
Minnesota,La-Crosse-Onalaska
Minnesota,Mankato-North-Mankato
Minnesota,Minneapolis-St.-Paul-Bloomington
Minnesota,Rochester
Minnesota,St.-Cloud
Mississippi,Gulfport-Biloxi-Pascagoula
Mississippi,Hattiesburg
Mississippi,Jackson
Mississippi,Memphis
Missouri,Cape-Girardeau
Missouri,Columbia
Missouri,Fayetteville-Springdale-Rogers
Missouri,Jefferson-City
Missouri,Joplin
Missouri,Kansas-City
Missouri,St.-Joseph
Missouri,St.-Louis
Missouri,Springfield
Montana,Billings
Montana,Great-Falls
Montana,Missoula
Nebraska,Grand-Island
Nebraska,Lincoln
Nebraska,Omaha-Council-Bluffs
Nebraska,Sioux-City
Nevada,Carson-City
Nevada,Las-Vegas-Henderson-Paradise
Nevada,Reno
New Hampshire,Boston-Cambridge-Nashua
New Hampshire,Dover-Durham
New Hampshire,Manchester
New Hampshire,Portsmouth
New Jersey,Allentown-Bethlehem-Easton
New Jersey,Atlantic-City-Hammonton
New Jersey,New-York-Newark-Jersey-City
New Jersey,Ocean-City
New Jersey,Philadelphia-Camden-Wilmington
New Jersey,Trenton
New Jersey,Vineland-Bridgeton
New Mexico,Albuquerque
New Mexico,Farmington
New Mexico,Las-Cruces
New Mexico,Santa-Fe
New York,Albany-Schenectady-Troy
New York,Binghamton
New York,Buffalo-Cheektowaga-Niagara-Falls
New York,Elmira
New York,Glens-Falls
New York,Ithaca
New York,Kingston
New York,New-York-Newark-Jersey-City
New York,Rochester
New York,Syracuse
New York,Utica-Rome
New York,Watertown-Fort-Drum
North Carolina,Asheville
North Carolina,Burlington
North Carolina,Charlotte-Concord-Gastonia
North Carolina,Durham-Chapel-Hill
North Carolina,Fayetteville
North Carolina,Goldsboro
North Carolina,Greensboro-High-Point
North Carolina,Greenville
North Carolina,Hickory-Lenoir-Morganton
North Carolina,Jacksonville
North Carolina,Myrtle-Beach-Conway-North-Myrtle-Beach
North Carolina,New-Bern
North Carolina,Raleigh
North Carolina,Rocky-Mount
North Carolina,Virginia-Beach-Norfolk-Newport-News
North Carolina,Wilmington
North Carolina,Winston-Salem
North Dakota,Bismarck
North Dakota,Fargo
North Dakota,Grand-Forks
North Dakota,Minot
Ohio,Akron
Ohio,Cincinnati
Ohio,Cleveland-Elyria
Ohio,Columbus
Ohio,Dayton
Ohio,Mansfield
Ohio,Toledo
Ohio,Youngstown-Warren-Boardman
Oklahoma,Enid
Oklahoma,Lawton
Oklahoma,Oklahoma-City
Oklahoma,Stillwater
Oklahoma,Tulsa
Oregon,Bend
Oregon,Eugene
Oregon,Medford
Oregon,Portland-Vancouver-Hillsboro
Oregon,Salem
Pennsylvania,Allentown-Bethlehem-Easton
Pennsylvania,Altoona
Pennsylvania,Chambersburg-Waynesboro
Pennsylvania,Erie
Pennsylvania,Harrisburg-Carlisle
Pennsylvania,Johnstown
Pennsylvania,Lancaster
Pennsylvania,Lebanon
Pennsylvania,Philadelphia-Camden-Wilmington
Pennsylvania,Pittsburgh
Pennsylvania,Reading
Pennsylvania,Scranton--Wilkes-Barre--Hazleton
Pennsylvania,State-College
Pennsylvania,York-Hanover
Rhode Island,Providence-Warwick
Rhode Island,Warwick
South Carolina,Charleston-North-Charleston
South Carolina,Columbia
South Carolina,Florence
South Carolina,Greenville-Anderson-Mauldin
South Carolina,Hilton-Head-Island-Bluffton-Beaufort
South Carolina,Myrtle-Beach-Conway-North-Myrtle-Beach
South Carolina,Spartanburg
South Dakota,Aberdeen
South Dakota,Brookings,
South Dakota,Huron
South Dakota,Sioux-Falls
South Dakota,Yankton
Tennesee,Chattanooga
Tennessee,Clarksville
Tennessee,Jackson
Tennessee,Johnson-City
Tennessee,Kingsport-Bristol-Bristol
Tennessee,Knoxville
Tennessee,Memphis
Tennessee,Nashville-Davidson-Murfreesboro-Franklin
Texas,Abilene
Texas,Amarillo
Texas,Austin-Round-Rock
Texas,Beaumont-Port-Arthur
Texas,Brownsville-Harlingen
Texas,College-Station-Bryan
Texas,Dallas-Fort-Worth-Arlington
Texas,El-Paso
Texas,Harlingen
Texas,Houston-The-Woodlands-Sugar-Land
Texas,Killeen-Fort-Hood
Texas,Laredo
Texas,Lubbock
Texas,McAllen-Edinburg-Mission
Texas,Midland
Texas,San-Angelo
Texas,San-Antonio-New-Braunfels
Texas,Sherman-Denison
Texas,Tyler
Texas,Waco
Texas,Wichita-Falls
Utah,Logan
Utah,Ogden-Clearfield
Utah,Provo-Orem
Utah,Salt-Lake-City
Utah,St.-George
Utah,Tooele
Vermont,Burlington-South-Burlington
Vermont,Montpelier
Virginia,Blacksburg-Christiansburg-Radford
Virginia,Charlottesville
Virginia,Chesapeake
Virginia,Harrisonburg
Virginia,Lynchburg
Virginia,Norfolk-Virginia-Beach-Newport-News
Virginia,Richmond
Virginia,Roanoke
Virginia,Virginia-Beach-Norfolk-Newport-News
Virginia,Washington-Arlington-Alexandria
Washington,Bellingham
Washington,Bremerton-Silverdale
Washington,Kennewick-Richland
Washington,Olympia
Washington,Seattle-Tacoma-Bellevue
Washington,Spokane-Spokane-Valley
Washington,Tri-Cities
Washington,Vancouver
Washington,Wenatchee
Washington,Yakima
West Virginia,Charleston
West Virginia,Clarksburg
West Virginia,Huntington-Ashland
West Virginia,Morgantown
West Virginia,Parkersburg-Vienna
West Virginia,Wheeling
Wisconsin,Appleton
Wisconsin,Eau-Claire
Wisconsin,Green-Bay
Wisconsin,Janesville-Beloit
Wisconsin,Kenosha
Wisconsin,La-Crosse-Onalaska
Wisconsin,Madison
Wisconsin,Milwaukee-Waukesha-West-Allis
Wisconsin,Oshkosh-Neenah
Wisconsin,Racine
Wisconsin,Sheboygan
Wisconsin,Wausau
Wisconsin,Wausau-Stevens-Point
Wyoming,Casper
Wyoming,Cheyenne
Wyoming,Gillette
Wyoming,Laramie
Wyoming,Rock-Springs
